,followers_count,following_count,name,tweet_count,listed_count
143,6401,1587,rugbywriter_f,19005,195
144,9443,371,sodateage_kudo,63320,388
145,904,78,yasushi_kudo,494,73
146,9017,5546,nan,76125,358
147,11745,6176,eshintaro,87546,631
148,9017,5546,nan,76125,358
149,296606,665,amneris84,111288,10236
150,3784,411,mysomizo,15464,112
151,1615,860,karorirorin,1789,52
152,629,3,ma_sports,866,50
153,16571,516,dailynkjapan,17753,580
154,250,212,pharmawriter100,201,3
155,4014,1239,akiakatsuki,13877,173
156,11606,2152,KosukeGoto2013,29360,423
157,9017,5546,nan,76125,358
158,3381,220,ryohey7654,10880,264
159,6292,832,kazuotakahashi,31540,315
160,15932,771,kinbricksnow,54224,1011
161,41504,41,hiro_icd,1340,1004
162,9017,5546,nan,76125,358
163,9017,5546,nan,76125,358
164,7786,4762,you_the_ballad,45608,94
165,18538,1254,yukikonosu,16757,749
166,20112,329,BUNKUROI,31694,736
167,3186,1291,ku6kawa230,22510,66
168,118956,138,kutsunasatoshi,341,1868
169,9017,5546,nan,76125,358
170,1690,311,imaiyusuke_cfc,1776,21
171,13488,1960,katariba,3633,538
172,24632,221,konno_haruki,14326,644
173,377,628,sasanoel,1993,12
174,37585,416,ssk_ryo,40538,874
175,9017,5546,nan,76125,358
176,9017,5546,nan,76125,358
177,9017,5546,nan,76125,358
178,9017,5546,nan,76125,358
179,9017,5546,nan,76125,358
180,9017,5546,nan,76125,358
181,904,685,tetsuyas,4553,110
182,2254,454,YU_EnjoyWork,1127,13
183,8423,591,shatyoo,2262,108
184,9017,5546,nan,76125,358
185,132,0,uitemate_invest,12,8
186,17445,2089,earthcream,7880,175
187,9017,5546,nan,76125,358
188,61123,672,SakamotoFumie,9784,1460
189,9017,5546,nan,76125,358
190,3020,185,wm_aya,5850,213
191,9017,5546,nan,76125,358
192,179,125,foodwriter_rie,529,5
193,9017,5546,nan,76125,358
194,9017,5546,nan,76125,358
195,46648,2966,mikamiyoh,97577,1154
196,732,109,346y,3591,61
197,102,2,kiyoshi_mio,312,3
198,9017,5546,nan,76125,358
199,39515,754,kazu1961omi,91943,2821
200,18526,786,HYamaguchi,498601,1101
201,9017,5546,nan,76125,358
202,2659,362,yamazaki_mayumi,8328,47
203,9017,5546,nan,76125,358
204,1805,900,yamazaki666,8359,88
205,538,142,yamamura_junya,1261,8
206,9017,5546,nan,76125,358
207,9017,5546,nan,76125,358
208,9017,5546,nan,76125,358
209,9017,5546,nan,76125,358
210,9017,5546,nan,76125,358
211,82677,391,keiyou30,10652,1479
212,6388,152,ymjrky,63333,244
213,9017,5546,nan,76125,358
214,10051,940,mam1kawa,5253,223
215,1712,415,ichikawashino,13319,48
216,9017,5546,nan,76125,358
217,57219,3279,reishiva,59573,1977
218,449,15,es_Information,602,22
219,9421,118,SatoshiKamidani,467,216
220,7783,1076,tera_sawa,119757,349
